Team,,Rec,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,,SSF,,EW,EL
James Madison,Sun Belt,"11-11",0.500,+22,187,6.83,180,30.70,182,91.30,192,16.86,2.83,170,29.47,209,28.52,5.83,3.17
TAM C. Christi,Southland,"11-10",0.524,-12,188,6.83,178,30.73,275,87.58,103,20.62,2.78,215,28.21,235,27.68,6.34,3.66
Elon,Coastal,"13-9",0.591,-11,189,6.82,215,28.23,138,92.73,312,12.96,2.80,217,28.16,207,28.55,4.12,4.88
Ohio,"Mid-American","11-11",0.500,-11,190,6.82,182,30.39,136,93.01,251,14.85,2.95,172,29.43,172,29.50,4.71,4.29
Buffalo,"Mid-American","14-7",0.667,+2,191,6.81,239,27.26,168,91.70,310,13.02,2.75,284,26.35,240,27.56,4.10,5.90
Merrimack,Metro Atlantic,"13-9",0.591,+9,192,6.81,238,27.28,344,83.99,99,20.75,2.65,190,29.00,238,27.62,5.43,3.57
Tarleton St,Western Athletic,"11-10",0.524,-19,193,6.81,186,30.14,190,90.94,202,16.67,2.92,201,28.63,188,29.05,5.08,4.92
Vermont,America East,"14-8",0.636,+6,194,6.81,204,28.64,272,87.67,159,18.44,2.81,300,25.87,333,24.00,7.08,1.92
TN Martin,OH Valley,"16-5",0.762,-8,195,6.80,258,26.20,311,86.13,177,17.54,2.82,347,23.40,346,23.22,5.50,3.50
CS Northridge,Big West,"12-10",0.545,+2,196,6.79,206,28.60,119,93.91,329,12.16,2.77,194,28.82,185,29.09,4.63,5.37
Idaho,Big Sky,"12-9",0.571,-9,197,6.79,217,28.22,206,90.19,232,15.49,2.76,226,27.91,213,28.41,4.59,5.41
S Dakota St,Summit Lg,"10-12",0.455,-13,198,6.79,160,31.93,155,92.16,182,17.23,2.91,189,29.03,227,28.06,6.28,2.72
Quinnipiac,Metro Atlantic,"14-9",0.609,-17,199,6.79,209,28.54,185,91.24,256,14.76,2.75,259,27.00,293,25.80,5.58,2.42
Marist,Metro Atlantic,"14-7",0.667,-16,200,6.77,223,28.01,332,84.88,104,20.59,2.73,328,24.85,321,24.43,5.23,2.77
Siena,Metro Atlantic,"15-7",0.682,+19,201,6.76,242,27.10,303,86.57,168,17.99,2.78,316,25.21,302,25.37,4.89,4.11
Iona,Metro Atlantic,"14-9",0.609,-13,202,6.76,219,28.18,239,88.98,203,16.66,2.86,268,26.79,290,26.00,5.17,2.83
Harvard,Ivy League,"11-9",0.550,+11,203,6.75,205,28.64,304,86.53,129,19.57,2.71,224,28.03,184,29.14,3.18,4.82
Utah Tech,Western Athletic,"12-11",0.522,+19,204,6.74,222,28.06,218,89.79,229,15.74,2.90,200,28.65,170,29.53,3.39,5.61
Coastal Car,Sun Belt,"13-10",0.565,+17,205,6.74,260,26.12,301,86.61,188,16.97,2.92,196,28.77,208,28.52,3.96,5.04
Navy,Patriot League,"16-6",0.727,+24,206,6.74,241,27.16,321,85.54,141,19.08,2.70,354,22.40,349,22.63,5.66,3.34
Queens NC,Atlantic Sun,"12-10",0.545,-16,207,6.73,225,27.99,99,94.94,349,10.52,2.78,195,28.79,232,27.83,5.22,3.78
Penn,Ivy League,"9-10",0.474,-14,208,6.73,203,28.71,176,91.38,253,14.80,2.88,159,30.00,163,29.84,3.83,4.17
Colgate,Patriot League,"13-9",0.591,-1,209,6.73,208,28.54,201,90.51,231,15.50,2.82,283,26.38,305,25.26,6.23,2.77
Portland,West Coast,"10-13",0.435,-5,210,6.72,226,27.95,166,91.86,295,13.55,2.85,121,31.33,115,32.44,2.28,5.72
Weber St,Big Sky,"10-11",0.476,-9,211,6.71,189,29.86,163,92.00,235,15.33,2.88,213,28.26,211,28.44,5.34,4.66
San Diego,West Coast,"10-13",0.435,+23,212,6.71,224,28.00,164,91.99,299,13.48,2.87,131,30.91,125,31.84,2.43,5.57
Ga Southern,Sun Belt,"14-9",0.609,-7,213,6.70,252,26.78,130,93.26,343,10.98,2.87,288,26.19,248,27.32,2.99,5.01
Tennessee St,OH Valley,"14-7",0.667,+7,214,6.70,263,26.03,160,92.02,337,11.48,2.82,326,24.93,331,24.06,6.21,3.79
Samford,Southern,"10-12",0.455,+2,215,6.70,188,30.08,122,93.68,282,13.86,2.85,208,28.51,237,27.63,5.77,3.23
La Salle,Atlantic 10,"7-14",0.333,+16,216,6.70,202,28.80,285,87.21,142,19.05,2.89,101,33.18,101,33.98,2.88,7.12
St Peter's,Metro Atlantic,"12-7",0.632,+10,217,6.69,251,26.84,333,84.80,132,19.51,2.75,310,25.37,300,25.43,4.87,4.13
Abilene Chr,Western Athletic,"10-10",0.500,-8,218,6.69,214,28.33,277,87.52,161,18.27,2.92,223,28.03,175,29.38,4.27,6.73
San Jose St,Mountain West,"6-15",0.286,-8,219,6.68,195,29.47,232,89.25,175,17.68,2.82,90,34.55,89,35.68,2.43,7.57
Lamar,Southland,"11-10",0.524,-13,220,6.68,210,28.50,290,86.97,144,19.00,2.75,256,27.14,242,27.51,5.07,4.93
UTRGV,Southland,"10-11",0.476,+30,221,6.68,216,28.22,252,88.38,181,17.31,2.83,192,28.91,212,28.43,5.27,4.73
LIU Brooklyn,Northeast,"13-8",0.619,-4,222,6.68,288,24.59,289,86.98,248,15.07,2.88,232,27.81,313,24.86,6.87,3.13
Idaho St,Big Sky,"10-11",0.476,-10,223,6.68,212,28.46,238,88.99,190,16.93,2.78,210,28.40,200,28.68,4.73,5.27
Monmouth NJ,Coastal,"11-11",0.500,+14,224,6.67,213,28.36,250,88.50,180,17.32,2.86,225,27.99,203,28.63,4.44,5.56
Stony Brook,Coastal,"13-9",0.591,+21,225,6.67,273,25.62,297,86.74,211,16.34,2.88,274,26.66,245,27.41,3.44,5.56
Florida Intl,Conference USA,"10-11",0.476,-1,226,6.67,221,28.09,140,92.62,313,12.93,2.88,209,28.47,166,29.79,3.56,6.44
Rice,American Athletic,"9-13",0.409,-8,227,6.67,201,28.85,224,89.59,198,16.72,2.82,152,30.10,142,31.16,3.08,5.92
Drexel,Coastal,"11-11",0.500,+8,228,6.66,191,29.72,314,85.99,91,21.19,2.88,282,26.39,263,26.96,5.50,4.50
WI Milwaukee,Horizon,"9-14",0.391,-3,229,6.66,207,28.60,178,91.32,257,14.74,2.85,124,31.11,159,29.94,4.53,3.47
Campbell,Coastal,"9-13",0.409,-35,230,6.65,218,28.21,173,91.45,276,14.22,2.74,134,30.75,153,30.25,4.24,4.76
CS Fullerton,Big West,"10-12",0.455,+16,231,6.64,254,26.70,162,92.00,328,12.17,2.81,163,29.74,165,29.80,3.98,6.02
WI Green Bay,Horizon,"12-11",0.522,-1,232,6.63,285,24.65,265,87.81,273,14.30,2.79,198,28.69,196,28.83,2.83,5.17
Texas St,Sun Belt,"12-11",0.522,-4,233,6.63,231,27.71,258,88.13,186,17.05,2.79,289,26.18,284,26.36,4.19,3.81
E Michigan,"Mid-American","9-12",0.429,-18,234,6.62,244,27.03,279,87.48,187,17.01,2.86,150,30.15,147,30.60,3.57,6.43
Youngstown St,Horizon,"11-12",0.478,-1,235,6.61,199,28.90,215,90.00,208,16.36,2.71,291,26.13,268,26.93,4.50,4.50
Princeton,Ivy League,"7-14",0.333,-3,236,6.60,192,29.71,264,87.93,136,19.25,2.79,138,30.58,152,30.29,4.07,3.93
American Univ,Patriot League,"13-9",0.591,+3,237,6.60,266,25.90,292,86.79,204,16.57,2.84,308,25.39,325,24.36,5.70,3.30
Nicholls St,Southland,"8-13",0.381,-34,238,6.60,211,28.47,197,90.57,234,15.37,2.80,151,30.14,167,29.66,4.95,5.05
New Orleans,Southland,"8-13",0.381,+19,239,6.60,283,24.87,179,91.31,342,11.02,2.88,94,33.57,129,31.76,3.93,6.07
Fordham,Atlantic 10,"11-10",0.524,+8,240,6.59,200,28.86,273,87.64,153,18.69,2.75,336,24.18,233,27.82,2.96,7.04
North Dakota,Summit Lg,"13-12",0.520,+29,241,6.58,257,26.36,191,90.93,315,12.89,2.83,269,26.77,260,27.02,3.16,3.84
Southern Miss,Sun Belt,"11-12",0.478,-27,242,6.58,256,26.61,256,88.17,218,15.90,2.99,233,27.79,199,28.71,2.75,5.25
NE Omaha,Summit Lg,"11-12",0.478,+9,243,6.57,243,27.03,210,90.07,267,14.43,2.78,262,26.92,246,27.39,3.55,4.45
"Loyola-Chicago",Atlantic 10,"5-18",0.217,-16,244,6.57,179,30.73,223,89.59,155,18.60,2.86,103,33.12,104,33.65,2.88,5.12
Chattanooga,Southern,"9-13",0.409,-21,245,6.56,185,30.34,171,91.47,212,16.33,2.70,275,26.65,285,26.34,5.78,3.22
UNC Asheville,Big South,"10-12",0.455,+14,246,6.56,228,27.88,237,88.99,210,16.35,2.85,270,26.75,276,26.66,4.40,3.60
Georgia St,Sun Belt,"9-13",0.409,+10,247,6.56,250,26.84,249,88.56,227,15.74,2.95,191,28.99,202,28.67,4.20,4.80
Cent Arkansas,Atlantic Sun,"11-10",0.524,+17,248,6.55,278,25.30,242,88.94,285,13.82,2.96,253,27.22,272,26.80,4.35,4.65
UTEP,Conference USA,"7-14",0.333,-7,249,6.55,198,28.93,270,87.68,152,18.71,2.85,165,29.65,146,30.64,3.75,6.25
Radford,Big South,"12-11",0.522,+3,250,6.55,233,27.56,177,91.34,292,13.68,2.70,330,24.74,304,25.27,4.19,3.81
UC Riverside,Big West,"8-14",0.364,-1,251,6.54,236,27.35,243,88.91,219,15.90,2.87,158,30.00,154,30.19,4.39,6.61
Dartmouth,Ivy League,"9-10",0.474,-8,252,6.54,255,26.69,214,90.00,278,14.15,2.88,251,27.31,224,28.16,3.11,4.89
Old Dominion,Sun Belt,"7-15",0.318,+10,253,6.54,235,27.42,240,88.98,220,15.90,2.92,120,31.48,151,30.47,3.88,4.12
FGCU,Atlantic Sun,"9-13",0.409,-11,254,6.53,229,27.78,208,90.17,247,15.07,2.85,222,28.05,266,26.94,5.55,3.45
SIUE,OH Valley,"14-9",0.609,,255,6.52,259,26.14,336,84.62,145,18.98,2.76,355,22.12,350,22.35,5.45,3.55
SE Missouri St,OH Valley,"12-10",0.545,+18,256,6.51,261,26.06,253,88.26,240,15.26,2.78,332,24.57,323,24.40,5.10,3.90
Denver,Summit Lg,"10-13",0.435,-12,257,6.51,268,25.86,123,93.67,352,9.65,2.83,205,28.56,210,28.48,3.38,4.62
Long Beach St,Big West,"8-14",0.364,-19,258,6.50,249,26.87,235,89.05,238,15.29,2.79,176,29.32,158,29.95,3.97,7.03
Fairfield,Metro Atlantic,"14-9",0.609,+12,259,6.49,292,24.37,281,87.43,268,14.40,2.70,346,23.44,332,24.06,3.61,4.39
Evansville,Missouri Val,"5-16",0.238,-6,260,6.48,245,27.02,306,86.40,166,18.09,3.02,100,33.22,102,33.86,2.26,6.74
Morehead St,OH Valley,"12-10",0.545,+12,261,6.48,282,25.00,283,87.34,245,15.12,2.83,331,24.71,327,24.31,4.99,4.01
South Dakota,Summit Lg,"12-11",0.522,+7,262,6.47,281,25.22,110,94.32,359,8.36,3.02,313,25.28,292,25.89,3.37,4.63
Cal Poly,Big West,"8-14",0.364,-7,263,6.47,272,25.68,107,94.34,356,8.80,2.77,153,30.09,148,30.58,3.51,7.49
Presbyterian,Big South,"11-12",0.478,,264,6.47,280,25.26,316,85.94,196,16.79,2.78,295,26.07,283,26.36,3.49,4.51
Cleveland St,Horizon,"8-14",0.364,+27,265,6.46,237,27.33,180,91.31,298,13.48,2.83,228,27.87,221,28.18,4.01,4.99
Longwood,Big South,"12-11",0.522,+10,266,6.46,253,26.74,228,89.40,252,14.80,2.85,348,23.35,329,24.23,4.01,3.99
East Carolina,American Athletic,"6-15",0.286,+15,267,6.45,227,27.92,247,88.67,199,16.72,2.85,139,30.56,135,31.52,3.61,7.39
E Washington,Big Sky,"5-16",0.238,-7,268,6.45,220,28.18,152,92.23,302,13.41,2.85,112,32.31,140,31.35,4.61,5.39
W Carolina,Southern,"8-12",0.400,+22,269,6.45,284,24.79,205,90.24,330,12.01,2.89,187,29.09,215,28.33,3.94,5.06
Hampton,Coastal,"10-12",0.455,+13,270,6.44,275,25.56,330,85.05,171,17.98,2.86,296,26.06,261,27.00,3.41,5.59
Detroit,Horizon,"9-12",0.429,-3,271,6.44,291,24.48,222,89.59,323,12.35,2.97,229,27.86,214,28.34,2.71,5.29
Incarnate Word,Southland,"9-12",0.429,-35,272,6.44,265,25.99,246,88.69,255,14.77,2.79,281,26.48,251,27.22,4.13,5.87
Jacksonville,Atlantic Sun,"9-13",0.409,+11,273,6.44,271,25.71,323,85.35,172,17.83,2.93,248,27.43,277,26.65,4.79,4.21
Lindenwood,OH Valley,"13-9",0.591,+7,274,6.43,304,23.52,260,88.07,314,12.92,2.79,349,23.34,342,23.61,4.28,4.72
Northeastern,Coastal,"6-14",0.300,-26,275,6.43,240,27.26,184,91.25,300,13.47,2.86,156,30.05,162,29.87,3.85,5.15
Central Conn,Northeast,"11-9",0.550,-35,276,6.42,290,24.53,291,86.81,242,15.18,2.70,345,23.55,355,21.80,6.42,2.58
Pepperdine,West Coast,"6-17",0.261,-11,277,6.41,232,27.57,231,89.29,228,15.74,2.90,132,30.79,124,31.89,2.18,5.82
Southern Utah,Western Athletic,"7-15",0.318,+9,278,6.41,269,25.83,194,90.85,320,12.44,2.91,168,29.55,157,30.05,2.93,6.07
SE Louisiana,Southland,"6-15",0.286,+6,279,6.40,248,26.89,325,85.33,143,19.02,2.78,155,30.06,177,29.30,4.73,5.27
Southern Univ,Southwestern AC,"8-12",0.400,-18,280,6.40,267,25.88,221,89.64,290,13.70,2.95,258,27.03,326,24.31,8.28,3.72
E Kentucky,Atlantic Sun,"7-15",0.318,-22,281,6.39,234,27.52,141,92.59,322,12.39,2.93,221,28.08,244,27.46,4.95,4.05
Ark Little Rock,OH Valley,"9-12",0.429,-15,282,6.39,293,24.36,298,86.73,246,15.10,2.86,271,26.74,303,25.36,5.17,3.83
Delaware,Conference USA,"6-14",0.300,+14,283,6.39,247,26.91,278,87.51,191,16.87,2.71,183,29.12,150,30.50,3.31,7.69
Northern Arizona,Big Sky,"8-14",0.364,+11,284,6.39,270,25.82,259,88.10,241,15.19,2.83,247,27.47,226,28.08,3.39,5.61
UNC Greensboro,Southern,"8-14",0.364,-6,285,6.38,264,26.01,220,89.68,287,13.79,2.80,249,27.38,247,27.34,4.12,4.88
W Michigan,"Mid-American","8-13",0.381,-11,286,6.38,277,25.31,227,89.44,305,13.33,2.79,237,27.74,191,28.99,3.01,6.99
CS Sacramento,Big Sky,"7-13",0.350,+1,287,6.38,287,24.59,234,89.06,311,13.00,2.88,184,29.12,180,29.23,3.45,6.55
UMBC,America East,"12-8",0.600,+16,288,6.37,305,23.48,248,88.64,325,12.31,2.73,356,21.99,353,21.95,4.97,4.03
Northwestern LA,Southland,"6-14",0.300,-9,289,6.36,276,25.43,274,87.61,236,15.29,2.79,164,29.66,187,29.05,4.23,5.77
"Bethune-Cookman",Southwestern AC,"9-11",0.450,+17,290,6.36,310,22.94,276,87.55,316,12.86,2.87,230,27.82,297,25.68,5.87,5.13
East Texas A&M,Southland,"8-13",0.381,+7,291,6.35,308,23.16,317,85.85,254,14.78,2.83,206,28.52,223,28.16,3.70,6.30
Charleston So,Big South,"11-12",0.478,-20,292,6.35,295,24.14,192,90.92,348,10.68,2.78,333,24.44,314,24.82,4.03,4.97
Ball St,"Mid-American","7-13",0.350,+13,293,6.35,262,26.05,319,85.78,174,17.74,2.90,266,26.89,234,27.81,4.30,6.70
Brown,Ivy League,"7-12",0.368,-17,294,6.34,246,27.02,310,86.18,160,18.31,2.76,307,25.41,264,26.96,3.11,4.89
Mt St Mary's,Metro Atlantic,"9-14",0.391,-2,295,6.34,294,24.23,324,85.34,209,16.36,2.74,252,27.24,288,26.16,4.30,3.70
CS Bakersfield,Big West,"8-14",0.364,-18,296,6.34,298,23.97,269,87.70,288,13.73,2.95,227,27.91,206,28.56,3.15,6.85
Sacred Heart,Metro Atlantic,"10-13",0.435,+20,297,6.32,299,23.90,202,90.40,344,10.96,2.76,303,25.62,301,25.40,3.77,4.23
Grambling,Southwestern AC,"8-10",0.444,-4,298,6.32,309,23.10,338,84.46,214,16.10,2.66,301,25.75,339,23.84,6.81,5.19
C Michigan,"Mid-American","6-15",0.286,-3,299,6.32,274,25.60,257,88.14,250,14.92,2.86,177,29.26,174,29.41,3.70,6.30
Bellarmine,Atlantic Sun,"8-13",0.381,+2,300,6.31,297,24.02,196,90.77,347,10.71,2.83,250,27.34,256,27.10,3.76,5.24
N Illinois,"Mid-American","7-13",0.350,+2,301,6.31,302,23.76,286,87.18,279,14.04,2.78,220,28.10,182,29.20,2.69,7.31
SC Upstate,Big South,"10-13",0.435,-12,302,6.31,300,23.82,280,87.45,284,13.83,2.80,317,25.19,295,25.74,3.10,4.90
Louisiana,Sun Belt,"6-16",0.273,-3,303,6.30,286,24.64,349,82.75,135,19.35,2.87,154,30.08,164,29.81,2.91,5.09
NC A&T,Coastal,"9-11",0.450,+8,304,6.30,311,22.79,263,87.98,326,12.28,2.82,314,25.23,265,26.95,2.27,6.73
Howard,"Mid-Eastern AC","12-9",0.571,-19,305,6.30,313,22.71,287,87.15,309,13.03,2.82,361,21.56,362,20.76,6.16,3.84
North Alabama,Atlantic Sun,"6-13",0.316,-17,306,6.29,279,25.29,255,88.24,265,14.51,2.89,239,27.67,262,26.98,4.44,4.56
Norfolk St,"Mid-Eastern AC","10-13",0.435,-8,307,6.25,289,24.55,271,87.67,272,14.34,2.80,351,23.12,357,21.74,5.72,2.28
Le Moyne,Northeast,"11-11",0.500,+10,308,6.25,334,20.65,267,87.71,350,10.41,2.81,329,24.79,347,23.08,5.00,4.00
Houston Chr,Southland,"8-13",0.381,+6,309,6.23,316,22.07,327,85.19,270,14.35,2.82,276,26.63,236,27.66,2.63,7.37
Stetson,Atlantic Sun,"8-14",0.364,+12,310,6.21,322,21.64,282,87.43,336,11.67,2.89,254,27.17,275,26.73,3.34,5.66
E Illinois,OH Valley,"9-13",0.409,,311,6.20,321,21.88,356,81.92,179,17.43,2.76,319,25.11,315,24.80,3.86,5.14
West Georgia,Atlantic Sun,"10-11",0.476,-2,312,6.19,345,19.44,296,86.75,351,10.16,2.75,323,25.06,298,25.58,2.47,6.53
Jackson St,Southwestern AC,"6-14",0.300,+6,313,6.19,335,20.60,295,86.77,339,11.29,2.83,125,31.10,287,26.20,6.22,4.78
Boston Univ,Patriot League,"8-14",0.364,,314,6.18,312,22.78,307,86.35,281,13.89,2.73,305,25.52,317,24.66,4.55,4.45
Mercyhurst,Northeast,"12-11",0.522,+15,315,6.18,328,20.99,361,80.47,169,17.99,2.98,357,21.85,356,21.80,4.29,4.71
UT San Antonio,American Athletic,"4-17",0.190,-3,316,6.16,296,24.09,261,88.03,296,13.52,2.95,136,30.66,122,31.95,1.68,7.32
Alabama A&M,Southwestern AC,"11-9",0.550,+12,317,6.16,342,19.65,346,83.81,306,13.30,2.98,360,21.65,361,21.23,5.16,5.84
Florida A&M,Southwestern AC,"8-10",0.444,-2,318,6.16,338,20.29,343,84.05,289,13.70,2.84,321,25.09,335,23.95,4.09,4.91
Lehigh,Patriot League,"9-13",0.409,+7,319,6.15,320,21.95,313,86.04,304,13.37,2.69,338,24.11,330,24.20,3.77,5.23
MA Lowell,America East,"8-14",0.364,-15,320,6.15,306,23.46,236,89.04,332,11.89,2.89,334,24.38,344,23.42,5.20,3.80
Manhattan,Metro Atlantic,"9-14",0.391,+2,321,6.15,324,21.42,211,90.04,355,8.84,2.75,322,25.07,307,25.06,3.05,4.95
New Hampshire,America East,"8-12",0.400,+22,322,6.13,330,20.93,331,85.00,303,13.39,2.91,325,25.02,328,24.26,4.03,4.97
Bucknell,Patriot League,"6-16",0.273,-15,323,6.12,314,22.48,326,85.31,262,14.63,2.80,218,28.15,273,26.77,4.54,5.46
Bryant,America East,"6-15",0.286,-23,324,6.12,301,23.80,322,85.51,226,15.75,2.96,294,26.08,319,24.53,5.33,3.67
Oral Roberts,Summit Lg,"5-18",0.217,-16,325,6.12,303,23.69,266,87.72,301,13.43,2.88,207,28.51,217,28.20,3.10,4.90
NJIT,America East,"10-12",0.455,+9,326,6.11,357,17.68,347,82.95,327,12.19,2.75,309,25.37,316,24.78,2.91,6.09
Air Force,Mountain West,"3-17",0.150,-3,327,6.10,307,23.24,351,82.61,165,18.09,2.88,110,32.58,94,34.68,1.21,9.79
Holy Cross,Patriot League,"8-14",0.364,-7,328,6.09,344,19.49,354,82.46,266,14.49,2.76,299,25.89,312,24.90,3.59,5.41
Alabama St,Southwestern AC,"6-14",0.300,-9,329,6.08,323,21.53,299,86.66,324,12.34,2.70,245,27.56,306,25.16,5.25,4.75
Army,Patriot League,"9-13",0.409,+6,330,6.08,341,19.93,308,86.32,341,11.07,2.76,343,23.60,343,23.51,3.53,5.47
SUNY Albany,America East,"7-15",0.318,-6,331,6.06,325,21.39,312,86.09,317,12.77,2.77,318,25.17,324,24.36,4.22,4.78
Canisius,Metro Atlantic,"8-14",0.364,-4,332,6.05,347,19.29,355,82.05,258,14.70,2.92,311,25.35,299,25.49,2.62,6.38
TX Southern,Southwestern AC,"6-13",0.316,+7,333,6.05,319,21.95,268,87.71,334,11.71,2.77,312,25.34,334,23.96,4.32,3.68
Lafayette,Patriot League,"6-16",0.273,,334,6.03,318,21.95,328,85.18,275,14.24,2.69,290,26.15,308,25.05,4.77,5.23
MD E Shore,"Mid-Eastern AC","8-13",0.381,-3,335,6.03,355,18.22,360,80.76,249,14.93,2.80,298,25.96,341,23.65,4.38,4.62
Ark Pine Bluff,Southwestern AC,"7-13",0.350,+3,336,6.00,356,17.83,251,88.41,363,6.89,2.83,272,26.73,336,23.95,4.94,6.06
NC Central,"Mid-Eastern AC","7-12",0.368,,337,5.99,340,20.12,293,86.79,346,10.79,2.90,342,23.81,352,22.04,4.99,4.01
Tennessee Tech,OH Valley,"7-14",0.333,-7,338,5.99,331,20.89,318,85.79,319,12.56,2.87,344,23.57,337,23.90,4.22,6.78
Loyola MD,Patriot League,"8-14",0.364,+7,339,5.98,333,20.71,305,86.48,335,11.70,2.76,352,22.65,348,22.95,3.64,5.36
North Florida,Atlantic Sun,"5-17",0.227,+5,340,5.98,315,22.37,104,94.84,365,4.99,2.99,267,26.83,274,26.76,3.26,5.74
IUPUI,Horizon,"6-18",0.250,+8,341,5.95,337,20.30,156,92.09,364,5.67,2.79,280,26.51,259,27.04,1.40,4.60
Stonehill,Northeast,"8-14",0.364,+5,342,5.94,350,18.78,359,80.97,239,15.27,2.79,350,23.15,351,22.34,4.02,4.98
Missouri KC,Summit Lg,"4-18",0.182,-10,343,5.94,317,22.06,329,85.14,269,14.38,2.90,243,27.64,230,27.96,2.34,5.66
Alcorn St,Southwestern AC,"3-16",0.158,-6,344,5.94,346,19.39,339,84.23,318,12.62,2.85,107,32.72,278,26.56,5.98,5.02
Maine,America East,"5-17",0.227,+3,345,5.93,326,21.10,363,79.67,148,18.90,2.79,297,25.97,310,25.02,3.99,5.01
Prairie View,Southwestern AC,"9-13",0.409,-19,346,5.93,343,19.57,254,88.25,357,8.78,2.81,363,20.86,363,20.53,4.88,5.12
Citadel,Southern,"7-15",0.318,+8,347,5.92,348,19.10,341,84.17,321,12.39,2.85,337,24.15,291,25.89,1.60,7.40
St Francis PA,Northeast,"6-14",0.300,+5,348,5.91,349,18.97,335,84.71,333,11.73,2.91,315,25.21,338,23.86,4.24,5.76
F Dickinson,Northeast,"7-15",0.318,+2,349,5.91,332,20.80,334,84.77,297,13.50,2.75,353,22.59,358,21.74,4.83,4.17
Wagner,Northeast,"6-13",0.316,-9,350,5.87,329,20.95,352,82.57,224,15.84,2.79,358,21.82,359,21.39,5.11,4.89
Niagara,Metro Atlantic,"5-16",0.238,-9,351,5.87,339,20.22,357,81.81,222,15.87,2.83,324,25.05,311,24.99,3.15,5.85
Southern Indiana,OH Valley,"5-16",0.238,-2,352,5.84,336,20.52,342,84.12,283,13.86,2.81,340,23.97,322,24.41,3.08,5.92
VMI,Southern,"6-16",0.273,-10,353,5.82,353,18.38,337,84.49,338,11.35,2.92,341,23.82,296,25.69,1.41,7.59
Morgan St,"Mid-Eastern AC","8-13",0.381,+6,354,5.82,360,16.83,288,87.11,362,7.19,2.94,362,21.48,365,20.25,3.92,4.08
New Haven,Northeast,"9-12",0.429,-1,355,5.81,363,14.56,364,77.67,271,14.35,2.78,359,21.70,354,21.82,2.43,6.57
S Carolina St,"Mid-Eastern AC","5-16",0.238,+1,356,5.74,358,17.58,340,84.21,345,10.84,2.86,327,24.86,345,23.35,3.47,4.53
Rider,Metro Atlantic,"2-18",0.100,-5,357,5.73,327,21.03,345,83.86,261,14.64,2.76,234,27.78,267,26.94,3.33,5.67
W Illinois,OH Valley,"4-18",0.182,-2,358,5.68,351,18.74,353,82.50,291,13.70,2.85,339,24.00,340,23.84,3.14,5.86
ULM,Sun Belt,"3-19",0.136,-1,359,5.63,352,18.64,300,86.63,354,9.47,2.97,302,25.71,254,27.18,1.67,8.33
Gardner Webb,Big South,"3-20",0.130,+1,360,5.63,354,18.34,309,86.18,353,9.62,2.86,279,26.56,252,27.20,1.77,7.23
Chicago St,Northeast,"2-19",0.095,-2,361,5.55,359,17.43,348,82.95,331,11.94,2.89,214,28.22,294,25.78,3.80,6.20
Delaware St,"Mid-Eastern AC","5-15",0.250,,362,5.52,362,15.49,362,79.67,307,13.28,2.82,364,20.80,364,20.33,3.06,4.94
Binghamton,America East,"5-18",0.217,,363,5.52,361,16.34,350,82.68,340,11.12,2.81,365,20.73,360,21.37,2.28,5.72
Coppin St,"Mid-Eastern AC","3-19",0.136,,364,5.38,364,12.00,358,81.59,361,7.88,2.89,264,26.91,318,24.55,2.42,6.58
MS Valley St,Southwestern AC,"1-20",0.048,,365,4.89,365,7.93,365,77.01,358,8.38,2.95,293,26.09,309,25.04,1.20,8.80
